"id";"id_orcamento";"id_produto";"description";"cores";"quantidade";"prazo";"desconto";"unitario";"total";"comissao_externa"
"438";"180";"56";"Caneta de Plástico";"1";"500";"15 dias úteis";"0";"1.66";"830.00";"0.00"
"439";"181";"54";"Caneta de Plástico";"2";"1000";"15 dias úteis";"0";"0.66";"660.00";"0.00"
"440";"181";"40";"Caneta de Plástico";"1";"1000";"15 dias úteis";"0";"0.84";"840.00";"0.00"
"441";"181";"50";"Caneta de Plástico";"1";"1000";"15 dias úteis";"0";"0.84";"840.00";"0.00"
"442";"182";"80";"Kit manicure de couro";"laser";"50";"15 dias úteis";"0";"14.89";"744.50";"0.00"
"443";"183";"62";"Estojo de metal p/ 1 caneta";"laser";"50";"10 dias úteis";"0";"7.52";"376.00";"0.00"
"444";"184";"68";"Kit ferramenta";"1";"500";"15 dias úteis";"0";"6.40";"3200.00";"0.00"
"445";"184";"69";"Chaveiro mini ferramenta";"laser";"500";"15 dias úteis";"0";"4.04";"2020.00";"0.00"
"446";"184";"74";"Trena de 5 metros";"cromia";"100";"15 dias úteis";"0";"7.76";"776.00";"0.00"
"447";"185";"57";"Caneta Ecológica";"1";"1000";"15 dias úteis";"0";"0.87";"870.00";"0.00"
"448";"186";"8";"Chaveiro abridor long neck";"cromia";"100";"15 dias úteis";"0";"2.80";"280.00";"0.00"
"449";"186";"113";"Squeeze de metal";"laser";"50";"10 dias úteis";"0";"13.64";"682.00";"0.00"
"450";"187";"23";"Caneta de metal";"laser";"200";"10 dias úteis";"0";"8.15";"1630.00";"0.00"
"451";"187";"35";"Caneta de metal";"laser";"100";"10 dias úteis";"0";"12.35";"1235.00";"0.00"
"452";"187";"24";"Caneta de metal";"laser";"200";"10 dias úteis";"0";"8.15";"1630.00";"0.00"
"453";"187";"33";"Caneta de Metal";"laser";"100";"10 dias úteis";"0";"5.20";"520.00";"0.00"
"454";"187";"32";"Caneta de Metal";"laser";"100";"10 dias úteis";"0";"8.42";"842.00";"0.00"
"455";"188";"102";"Pasta zip zap";"2";"1000";"25 à 30 dias úteis";"0";"3.05";"3050.00";"0.00"
"456";"189";"85";"Porta cartão de couro";"1";"50";"10 dias úteis";"0";"9.24";"462.00";"0.00"
"457";"189";"92";"Relógio lcd digital";"1";"50";"15 dias úteis";"0";"8.61";"430.50";"0.00"
"458";"189";"91";"Porta objeto couro quadrado";"1";"50";"10 dias úteis";"0";"20.70";"1035.00";"0.00"
"459";"190";"100";"Pen drive giratório 2gb";"laser";"400";"10 dias úteis";"0";"28.40";"11360.00";"0.00"
"460";"190";"101";"Pen drive c/ tampa 2gb";"laser";"400";"10 dias úteis";"0";"26.05";"10420.00";"0.00"
"461";"191";"6";"Chaveiro gel";"cromia";"500";"25 dias úteis";"0";"1.59";"795.00";"0.00"
"462";"191";"54";"Caneta de Plástico";"1";"500";"15 dias úteis";"0";"0.71";"355.00";"0.00"
"463";"192";"70";"Trena de 3 metros";"cromia";"5000";"15 dias úteis";"0";"4.71";"23550.00";"0.00"
"464";"193";"116";"Caneca 9381";"laser";"100";"15 dias úteis";"0";"11.07";"1107.00";"0.00"
"465";"193";"116";"Caneca 9381";"laser";"200";"15 dias úteis";"0";"10.60";"2120.00";"0.00"
"466";"193";"116";"Caneca 9381";"laser";"500";"15 dias úteis";"0";"10.32";"5160.00";"0.00"
"467";"193";"116";"Caneca 1071";"laser";"100";"15 dias úteis";"0";"14.50";"1450.00";"0.00"
"468";"193";"116";"Caneca 1071";"laser";"200";"15 dias úteis";"0";"14.04";"2808.00";"0.00"
"469";"193";"116";"Caneca 1071";"laser";"500";"15 dias úteis";"0";"13.75";"6875.00";"0.00"
"470";"194";"1";"Chaveiro quadrado giratório";"laser";"100";"10 dias úteis";"0";"5.10";"510.00";"0.00"
"471";"194";"1";"Chaveiro quadrado giratório";"laser";"200";"10 dias úteis";"0";"4.83";"966.00";"0.00"
"472";"194";"1";"Chaveiro quadrado giratório";"laser";"500";"10 dias úteis";"0";"4.67";"2335.00";"0.00"
"473";"194";"113";"Squeeze de metal";"laser";"100";"10 dias úteis";"0";"11.54";"1154.00";"0.00"
"474";"194";"113";"Squeeze de metal";"laser";"200";"10 dias úteis";"0";"11.27";"2254.00";"0.00"
"475";"194";"113";"Squeeze de metal";"laser";"500";"10 dias úteis";"0";"11.11";"5555.00";"0.00"
"476";"194";"114";"Squeeze metálico";"laser";"100";"10 dias úteis";"0";"10.75";"1075.00";"0.00"
